,permissions,Longitude,Latitude,complete_geojson_geometry,footprint,links_self,links_assets,links_thumbnail,image id,acquired,anomalous_pixels,clear_confidence_percent,clear_percent,cloud_cover,cloud_percent,columns,epsg_code,ground_control,gsd,heavy_haze_percent,instrument,item_type,light_haze_percent,origin_x,origin_y,pixel_resolution,provider,published,publishing_stage,quality_category,rows,satellite_id,shadow_percent,snow_ice_percent,strip_id,sun_azimuth,sun_elevation,updated,view_angle,visible_confidence_percent,visible_percent
0,assets.analytic_sr:download,76.7275,9.39943,"{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'properties': {}, 'geometry': {'type': 'Polygon', 'coordinates': [[[75.7275, 8.39943], [77.7275, 8.39943], [77.7275, 10.39943], [75.7275, 10.39943], [75.7275, 8.39943]]]}}]}","[[[77.44607209218617, 8.879933175848631], [77.43388317665072, 8.944735410514395], [77.64698896479157, 8.984907076937688], [77.64894810573811, 8.974459311085106], [77.64904044732073, 8.974476718937169], [77.65069113846668, 8.965951091250794], [77.66004074993589, 8.916114728068168], [77.44684863624454, 8.875928141631311], [77.44607209218617, 8.879933175848631]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20180809_051522_1050,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20180809_051522_1050/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20180809_051522_1050/thumb,20180809_051522_1050,2018-08-09T05:15:22.020593Z,0.0,93,24,0.04,8,8304,32643,True,3.6,7,PS2,PSScene4Band,60,767634,994236,3,planetscope,2018-08-10T04:55:18Z,finalized,standard,4072,1050,1,0,1618357,71.6,64.6,2018-08-10T04:55:18Z,0.1,77,85
1,assets.analytic_sr:download,76.7275,9.39943,"{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'properties': {}, 'geometry': {'type': 'Polygon', 'coordinates': [[[75.7275, 8.39943], [77.7275, 8.39943], [77.7275, 10.39943], [75.7275, 10.39943], [75.7275, 8.39943]]]}}]}","[[[77.42803911764295, 8.974115996739151], [77.4237077313067, 8.997177663090294], [77.42393483673146, 8.997220472761256], [77.4219164337738, 9.007641071766027], [77.6349055766516, 9.047795708318846], [77.64402290703714, 9.000724559073557], [77.6480908371785, 8.9790309786823], [77.43487418941923, 8.93883704235723], [77.42803911764295, 8.974115996739151]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20180809_051523_1050,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20180809_051523_1050/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20180809_051523_1050/thumb,20180809_051523_1050,2018-08-09T05:15:23.004682Z,0.0,92,14,0.03,9,8303,32643,True,3.6,3,PS2,PSScene4Band,68,766272,1001187,3,planetscope,2018-08-10T04:55:12Z,finalized,standard,4071,1050,6,0,1618357,71.7,64.7,2018-08-10T04:55:12Z,0.1,79,89
2,assets.analytic_sr:download,76.7275,9.39943,"{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'properties': {}, 'geometry': {'type': 'Polygon', 'coordinates': [[[75.7275, 8.39943], [77.7275, 8.39943], [77.7275, 10.39943], [75.7275, 10.39943], [75.7275, 8.39943]]]}}]}","[[[77.44762624237903, 8.871917629745141], [77.44566972415889, 8.882306129992944], [77.65879258254675, 8.922474474925016], [77.66065598450493, 8.912835334745122], [77.66089834647767, 8.911543469373482], [77.66090546367379, 8.91154481088895], [77.67065762423353, 8.861098130675865], [77.67204539508214, 8.853687056710239], [77.45890480634631, 8.813547144756237], [77.44891261246048, 8.865087406661887], [77.44773058143184, 8.871363621985358], [77.44773355150076, 8.871364181811632], [77.44762624237903, 8.871917629745141]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20180809_051521_1050,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20180809_051521_1050/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20180809_051521_1050/thumb,20180809_051521_1050,2018-08-09T05:15:21.036505Z,0.0,81,1,0.25,38,8314,32643,True,3.6,11,PS2,PSScene4Band,49,768975,987336,3,planetscope,2018-08-10T04:55:07Z,finalized,standard,4070,1050,1,0,1618357,71.5,64.6,2018-08-10T04:55:07Z,0.1,71,50
3,assets.analytic_sr:download,76.7275,9.39943,"{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'properties': {}, 'geometry': {'type': 'Polygon', 'coordinates': [[[75.7275, 8.39943], [77.7275, 8.39943], [77.7275, 10.39943], [75.7275, 10.39943], [75.7275, 8.39943]]]}}]}","[[[77.41009042780183, 9.070588928252034], [77.62297873073032, 9.110725700290006], [77.6362722323986, 9.041978842860548], [77.4230504395897, 9.001786433160937], [77.411779684588, 9.059975021276335], [77.41214368407987, 9.060043629620994], [77.41009042780183, 9.070588928252034]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20180809_051523_1_1050,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20180809_051523_1_1050/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20180809_051523_1_1050/thumb,20180809_051523_1_1050,2018-08-09T05:15:23.988246Z,0.0,91,9,0.21,37,8301,32643,False,3.6,10,PS2,PSScene4Band,35,764925,1008141,3,planetscope,2018-08-10T04:54:47Z,finalized,test,4070,1050,9,0,1618357,71.8,64.7,2018-08-10T04:54:47Z,0.1,77,53
4,assets.analytic_sr:download,76.7275,9.39943,"{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'properties': {}, 'geometry': {'type': 'Polygon', 'coordinates': [[[75.7275, 8.39943], [77.7275, 8.39943], [77.7275, 10.39943], [75.7275, 10.39943], [75.7275, 8.39943]]]}}]}","[[[77.50328355638527, 8.877638240203993], [77.49467549764785, 8.923936394869617], [77.70457308154903, 8.963117641310834], [77.70632940219663, 8.953667577992158], [77.7063951240717, 8.95367984051655], [77.71173347038507, 8.925875030577094], [77.71740179034904, 8.89537514331305], [77.50740566926302, 8.856174271463681], [77.50328355638527, 8.877638240203993]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20180807_051514_101c,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20180807_051514_101c/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20180807_051514_101c/thumb,20180807_051514_101c,2018-08-07T05:15:14.069042Z,0.0,50,0,0.01,0,8179,32643,True,3.6,17,PS2,PSScene4Band,83,774339,991869,3,planetscope,2018-08-08T06:15:12Z,finalized,standard,3997,101c,0,0,1613813,70.3,64.5,2018-08-08T06:15:12Z,0.1,51,83
5,assets.analytic_sr:download,76.7275,9.39943,"{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'properties': {}, 'geometry': {'type': 'Polygon', 'coordinates': [[[75.7275, 8.39943], [77.7275, 8.39943], [77.7275, 10.39943], [75.7275, 10.39943], [75.7275, 8.39943]]]}}]}","[[[77.53889889063727, 8.687016492974418], [77.53169137762598, 8.725767586420138], [77.53190673827827, 8.72580780493388], [77.5301588545369, 8.734917550709076], [77.73978094340548, 8.774094143761902], [77.74655167668067, 8.7387726785832], [77.75257362286528, 8.706336832644805], [77.54271546895757, 8.667119984307535], [77.53889889063727, 8.687016492974418]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20180807_051511_101c,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20180807_051511_101c/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20180807_051511_101c/thumb,20180807_051511_101c,2018-08-07T05:15:11.123068Z,0.01,91,5,0.06,9,8171,32643,True,3.6,1,PS2,PSScene4Band,80,778386,970977,3,planetscope,2018-08-08T06:14:48Z,finalized,standard,3997,101c,5,0,1613813,69.9,64.4,2018-08-08T06:14:48Z,0.1,85,90
6,assets.analytic_sr:download,76.7275,9.39943,"{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'properties': {}, 'geometry': {'type': 'Polygon', 'coordinates': [[[75.7275, 8.39943], [77.7275, 8.39943], [77.7275, 10.39943], [75.7275, 10.39943], [75.7275, 8.39943]]]}}]}","[[[77.6933039224719, 9.021114699456643], [77.48339412373343, 8.981980282953355], [77.4725813641626, 9.040176518820589], [77.47269310438124, 9.040197544035966], [77.47085537498263, 9.049764953883374], [77.68077528094466, 9.088915405143], [77.68309859689572, 9.076804983341328], [77.68298097553419, 9.07678309908712], [77.6933039224719, 9.021114699456643]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20180807_051516_101c,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20180807_051516_101c/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20180807_051516_101c/thumb,20180807_051516_101c,2018-08-07T05:15:16.033025Z,0.0,48,0,0.06,0,8165,32643,True,3.6,40,PS2,PSScene4Band,59,771624,1005774,3,planetscope,2018-08-08T06:14:28Z,finalized,standard,3997,101c,0,0,1613813,70.5,64.5,2018-08-08T06:14:28Z,0.1,51,59
7,assets.analytic_sr:download,76.7275,9.39943,"{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'properties': {}, 'geometry': {'type': 'Polygon', 'coordinates': [[[75.7275, 8.39943], [77.7275, 8.39943], [77.7275, 10.39943], [75.7275, 10.39943], [75.7275, 8.39943]]]}}]}","[[[77.45875764992483, 9.112843664759204], [77.66868658557452, 9.15157083076638], [77.68160292461668, 9.084143037603914], [77.47182485272059, 9.044717752231126], [77.46054102241396, 9.103462543098527], [77.46056182585042, 9.10346642127219], [77.45875764992483, 9.112843664759204]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20180807_051517_1_101c,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20180807_051517_1_101c/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20180807_051517_1_101c/thumb,20180807_051517_1_101c,2018-08-07T05:15:17.015017Z,0.0,59,0,0.27,10,8179,32643,True,3.6,70,PS2,PSScene4Band,21,770244,1012698,3,planetscope,2018-08-08T06:14:19Z,finalized,standard,3994,101c,0,0,1613813,70.7,64.5,2018-08-08T06:14:19Z,0.1,57,21
8,assets.analytic_sr:download,76.7275,9.39943,"{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'properties': {}, 'geometry': {'type': 'Polygon', 'coordinates': [[[75.7275, 8.39943], [77.7275, 8.39943], [77.7275, 10.39943], [75.7275, 10.39943], [75.7275, 8.39943]]]}}]}","[[[77.55202698698294, 8.617898716844763], [77.5420131172602, 8.671789825852779], [77.75170810314249, 8.710998758129373], [77.75340971001305, 8.701833439043355], [77.75351097971897, 8.701852363673892], [77.75695575072697, 8.683877401514748], [77.76450298260052, 8.64325443267254], [77.55468537488883, 8.604022205062915], [77.55202698698294, 8.617898716844763]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20180807_051510_101c,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20180807_051510_101c/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20180807_051510_101c/thumb,20180807_051510_101c,2018-08-07T05:15:10.141077Z,0.0,92,22,0.03,5,8176,32643,True,3.6,0,PS2,PSScene4Band,68,779736,964005,3,planetscope,2018-08-08T06:13:23Z,finalized,standard,3998,101c,5,0,1613813,69.8,64.4,2018-08-08T06:13:23Z,0.1,85,95
9,assets.analytic_sr:download,76.7275,9.39943,"{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'properties': {}, 'geometry': {'type': 'Polygon', 'coordinates': [[[75.7275, 8.39943], [77.7275, 8.39943], [77.7275, 10.39943], [75.7275, 10.39943], [75.7275, 8.39943]]]}}]}","[[[77.57806564255507, 8.482651814869456], [77.78763895587409, 8.521859916724374], [77.80063811210877, 8.454158225340958], [77.59099080451894, 8.414942559553868], [77.57981890730355, 8.473344831495456], [77.57984821837005, 8.473350315999506], [77.57806564255507, 8.482651814869456]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20180807_051507_101c,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20180807_051507_101c/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20180807_051507_101c/thumb,20180807_051507_101c,2018-08-07T05:15:07.195102Z,0.01,92,17,0.12,23,8184,32643,True,3.6,0,PS2,PSScene4Band,49,783846,943101,3,planetscope,2018-08-08T06:12:16Z,finalized,standard,3996,101c,11,0,1613813,69.4,64.4,2018-08-08T06:12:16Z,0.1,82,77
10,assets.analytic_sr:download,76.7275,9.39943,"{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'properties': {}, 'geometry': {'type': 'Polygon', 'coordinates': [[[75.7275, 8.39943], [77.7275, 8.39943], [77.7275, 10.39943], [75.7275, 10.39943], [75.7275, 8.39943]]]}}]}","[[[77.57849609539893, 8.48040570751903], [77.56641071383206, 8.54560263995277], [77.77560630186022, 8.584763475875858], [77.77730687040396, 8.57559502934025], [77.77782108185546, 8.575691304133343], [77.7788698688636, 8.570228166057777], [77.78873287895638, 8.517093980579462], [77.57898647110011, 8.477846922085028], [77.57849609539893, 8.48040570751903]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20180807_051508_101c,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20180807_051508_101c/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20180807_051508_101c/thumb,20180807_051508_101c,2018-08-07T05:15:08.177094Z,0.06,93,22,0.18,32,8173,32643,True,3.6,0,PS2,PSScene4Band,34,782517,950052,3,planetscope,2018-08-08T06:12:11Z,finalized,standard,3995,101c,13,0,1613813,69.5,64.4,2018-08-08T06:12:11Z,0.0,86,68
11,assets.analytic_sr:download,76.7275,9.39943,"{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'properties': {}, 'geometry': {'type': 'Polygon', 'coordinates': [[[75.7275, 8.39943], [77.7275, 8.39943], [77.7275, 10.39943], [75.7275, 10.39943], [75.7275, 8.39943]]]}}]}","[[[77.49232009305432, 8.935321237919133], [77.48276061096554, 8.98674762851171], [77.69242172384422, 9.025872118636928], [77.694138766535, 9.016612648519526], [77.69448941618603, 9.016678023849881], [77.69858253927498, 8.995350368222217], [77.70549226387301, 8.958171886573558], [77.49545067325536, 8.918980823975772], [77.49232009305432, 8.935321237919133]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20180807_051515_101c,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20180807_051515_101c/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20180807_051515_101c/thumb,20180807_051515_101c,2018-08-07T05:15:15.051034Z,0.0,50,0,0.01,0,8178,32643,True,3.6,35,PS2,PSScene4Band,64,772980,998805,3,planetscope,2018-08-08T06:12:07Z,finalized,standard,3995,101c,0,0,1613813,70.4,64.5,2018-08-08T06:12:08Z,0.1,51,64
12,assets.analytic_sr:download,76.7275,9.39943,"{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'properties': {}, 'geometry': {'type': 'Polygon', 'coordinates': [[[75.7275, 8.39943], [77.7275, 8.39943], [77.7275, 10.39943], [75.7275, 10.39943], [75.7275, 8.39943]]]}}]}","[[[77.51840978775299, 8.798080916910116], [77.72781536402509, 8.837181003028805], [77.74083596866568, 8.769483962360788], [77.53104362926298, 8.730306218369154], [77.51985351244876, 8.78862767131212], [77.5202112622594, 8.788694527861107], [77.51840978775299, 8.798080916910116]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20180807_051512_101c,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20180807_051512_101c/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20180807_051512_101c/thumb,20180807_051512_101c,2018-08-07T05:15:12.105059Z,0.01,86,1,0.04,7,8170,32643,True,3.6,0,PS2,PSScene4Band,87,777045,977952,3,planetscope,2018-08-08T06:11:54Z,finalized,standard,3995,101c,5,0,1613813,70.0,64.4,2018-08-08T06:11:54Z,0.1,80,93
13,assets.analytic_sr:download,76.7275,9.39943,"{'type': 'FeatureCollection', 'features': [{'type': 'Feature', 'properties': {}, 'geometry': {'type': 'Polygon', 'coordinates': [[[75.7275, 8.39943], [77.7275, 8.39943], [77.7275, 10.39943], [75.7275, 10.39943], [75.7275, 8.39943]]]}}]}","[[[77.50648998951387, 8.860942244125994], [77.71626139607442, 8.900104843483048], [77.72918853729928, 8.832401930704078], [77.51934726424392, 8.793196296541126], [77.50812893528645, 8.851648192307875], [77.50826984196043, 8.851674497606563], [77.50648998951387, 8.860942244125994]]]",https://api.planet.com/data/v1/item-types/PSScene4Band/items/20180807_051513_101c,https://api.planet.com/data/v1/item-types/PSScene4Band/items/20180807_051513_101c/assets/,https://tiles.planet.com/data/v1/item-types/PSScene4Band/items/20180807_051513_101c/thumb,20180807_051513_101c,2018-08-07T05:15:13.087051Z,0.01,72,0,0.05,9,8179,32643,True,3.6,1,PS2,PSScene4Band,86,775686,984906,3,planetscope,2018-08-08T06:11:41Z,finalized,standard,3996,101c,4,0,1613813,70.1,64.5,2018-08-08T06:11:41Z,0.1,69,90
